date,       link,                  time, program,   solver,             puzzle, format
2019-05-04, qyaYU6AV5Sg,     10m 11.87s, MC4D,      tetrian,            3x3x3x3, single
2019-05-04, qyaYU6AV5Sg,     10m 11.87s, MC4D,      tetrian,            3x3x3x3, nf
2019-05-19, TPaW0RUJrFk,  1h 12m 07.65s, MC4D,      tetrian,            4x4x4x4, single
2019-08-11, aZ6GQOmgYD8,      2m 26.00s, -,         connor,             phys_2x2x2x2, single
2021-07-24, z__CuN5CgAY,      1m 43.44s, MC4D,      tetrian,            3-layer_simplex, single
2021-07-24, s8Kj2h8YCkY,      1m 00.80s, MC4D,      tetrian,            2x2x2x2, single
2021-11-15, mgfhSL2fi7E,      2m 16.54s, -,         rowan,              phys_2x2x2x2, single
2021-12-06, tOaBQs34oB0,      2m 05.27s, -,         rowan,              phys_2x2x2x2, single
2021-12-09, I9hnsif4ImE,      2m 03.58s, -,         rowan,              phys_2x2x2x2, single
2021-12-11, 2SWo0zMlg8I,      2m  0.66s, -,         rowan,              phys_2x2x2x2, single
2021-12-11, JJPJ7hgNLJU,      1m 56.75s, -,         rowan,              phys_2x2x2x2, single
2022-05-07, RuUc26S5xpw,      1m 46.24s, -,         rowan,              phys_2x2x2x2, single
2022-06-20, FSpuv9FJorw,      1m 28.14s, -,         rowan,              phys_2x2x2x2, single
2022-07-01, ClqLrac3Ib4,      6m 25.12s, -,         rowan,              phys_2x2x2x2, oh
2022-08-02, XDW7wi4ryPE,      1m 27.17s, -,         rowan,              phys_2x2x2x2, single
2022-08-07, uEnk2yrJN7I,      1m 23.28s, -,         grant,              phys_2x2x2x2, single
2022-08-12, X_FY-CUfvUI,      1m 07.57s, -,         grant,              phys_2x2x2x2, single
2022-09-17, i8Dkpk6QEpE,      1m 18.24s, -,         rowan,              phys_2x2x2x2, single
2022-09-18, _qqXVKOVkAI,      1m 06.04s, -,         grant,              phys_2x2x2x2, single
2022-10-01, RU3ca_0Ea3w,      3m 55.62s, -,         grant,              phys_2x2x2x2, oh
2022-10-03, eIEu38wsjtM,         56.65s, -,         grant,              phys_2x2x2x2, single
2022-11-06, U7AgKxkaG0U,      9m 05.82s, HSC,       hactar,             3x3x3x3, single
2022-11-08, Ba4fZIL9sWs,         54.84s, -,         grant,              phys_2x2x2x2, single
2022-11-15, ehmibXcJnpw,      2m 11.47s, -,         hyperespy,          phys_2x2x2x2, single
2022-11-18, FCvn9-JvXgY,      8m 58.82s, HSC,       rowan,              3x3x3x3, single
2022-11-18, j8rhsXzyP78,      8m 23.59s, HSC,       hactar,             3x3x3x3, single
2022-11-19, L43wlyaoyAM,      8m 15.35s, HSC,       hactar,             3x3x3x3, single
2022-11-19, otPqH-m22Xg,      8m 02.53s, HSC,       hactar,             3x3x3x3, single
2022-11-19, gRWemTTFSik,      7m 43.33s, HSC,       hactar,             3x3x3x3, single
2022-11-21, NwRLRdkJBF8,      7m 36.32s, HSC,       grant,              3x3x3x3, single
2022-11-21, 26fvxDQPNwE,      7m 02.17s, HSC,       hactar,             3x3x3x3, single
2022-11-22, UTISMKUW06I,      6m 46.21s, HSC,       grant,              3x3x3x3, single
2022-11-22, p6_hGg7liLg,      6m 38.92s, HSC,       hactar,             3x3x3x3, single
2022-11-23, 5SeTzLDTb2g,     44m 40.42s, HSC,       luna,               4x4x4x4, single
2022-11-23, aQAGH2g7It8,      6m 36.38s, HSC,       grant,              3x3x3x3, single
2022-11-23, Cr9FnV1HOSE,      5m 32.98s, HSC,       hactar,             3x3x3x3, single
2022-11-24, m1Itso7nOM8,     12m 13.26s, HSC,       alvin,              3x3x3x3, single
2022-11-25, licHhb2R_EE,      5m 25.14s, HSC,       grant,              3x3x3x3, single
2022-11-25, st7bV8y_vUY,      5m 23.82s, HSC,       grant,              3x3x3x3, single
2022-11-26, nzpLgx_x3bs,      5m 01.92s, HSC,       grant,              3x3x3x3, single
2022-11-26, 8NamawdeMXU,      4m 58.14s, HSC,       hactar,             3x3x3x3, single
2022-11-27, GEr2keT4cB8,      4m 52.94s, HSC,       grant,              3x3x3x3, single
2022-11-29, 4_8RjkUkv-g,      4m 50.73s, HSC,       hactar,             3x3x3x3, single
2022-11-30, gFkfXyHy-QA,      4m 43.86s, HSC,       grant,              3x3x3x3, single
2022-12-01, FmJYI0IImyI,      4m 30.88s, HSC,       hactar,             3x3x3x3, single
2022-12-01, JSH4FH5cv-w,      6m 31.02s, HSC,       rowan,              3x3x3x3, single
2022-12-02, S6mFXj9HnXA,      4m 10.84s, HSC,       grant,              3x3x3x3, single
2022-12-02, s8l4jnMz6p4,     24m 46.95s, HSC,       weill,              3x3x3x3, single
2022-12-03, xk4IUAtKEo8,      4m 09.19s, HSC,       grant,              3x3x3x3, single
2022-12-03, QDabSnE1I4A,      4m 02.60s, HSC,       grant,              3x3x3x3, single
2022-12-04, k6nSP8EPU7I,     32m 46.55s, HSC,       grant,              4x4x4x4, single
2022-12-04, QWvQvvbNS2c,     29m 54.82s, HSC,       luna,               4x4x4x4, single
2022-12-07, 1t2P3CL-glo,  1h 31m 38.50s, HSC,       luna,               5x5x5x5, single
2022-12-07, hjn7iu6zs4E,      3m 58.29s, HSC,       grant,              3x3x3x3, single
2022-12-10, VlGilGp8SCg,      3m 55.32s, HSC,       grant,              3x3x3x3, single
2022-12-13, w_-06L6oCdE,      3m 45.69s, HSC,       grant,              3x3x3x3, single
2022-12-14, MkhTQHIlDcQ,      3m 34.43s, HSC,       grant,              3x3x3x3, single
2022-12-14, QdTa7Be-Iw8,      3m 23.26s, HSC,       grant,              3x3x3x3, single
2022-12-15, Al8w9-Xk3n8,      3m 21.52s, HSC,       grant,              3x3x3x3, single
2022-12-16, XeRkVqDJ1jk,      3m 52.00s, HSC,       grant,              3x3x3x3, ao5
2022-12-17, 2k7Gz8avg0E,     23m 50.75s, HSC,       grant,              4x4x4x4, single
2022-12-20, peONIUD98wk,      3m 16.44s, HSC,       grant,              3x3x3x3, single
2022-12-20, QNjG5DUqn8g,     21m 37.07s, HSC,       grant,              4x4x4x4, single
2022-12-21, W0efQkhPSzY,      3m 13.97s, HSC,       grant,              3x3x3x3, single
2022-12-21, h2hTGc5Vztk,      3m 06.06s, HSC,       grant,              3x3x3x3, single
2022-12-21, 4tqXxtdtXms,         50.95s, HSC,       grant,              2x2x2x2, single
2022-12-22, kRBj6ScH8Ng,      2m 59.97s, HSC,       hactar,             3x3x3x3, single
2022-12-23, 9lMbBnA0tVE,      2m 59.34s, HSC,       grant,              3x3x3x3, single
2022-12-23, B-VdP5h3fKo,     20m 18.48s, HSC,       grant,              4x4x4x4, single
2022-12-23, B-VdP5h3fKo,     20m 18.48s, HSC,       grant,              4x4x4x4, single
2022-12-24, EPAof7Hwrak,     19m 57.08s, HSC,       grant,              4x4x4x4, single
2022-12-28, YRzjvrPVq7Q,     19m 17.70s, HSC,       grant,              4x4x4x4, single
2022-12-29, bJndxs7QGyg,     18m 53.84s, HSC,       grant,              4x4x4x4, single
2022-12-30, XwBNgjB9ZQI,     57m 43.65s, HSC,       grant,              5x5x5x5, single
